,street,county,state,zip
109120,133 ,Jefferson County,AL,352145101
109121,1308  2ND ST  BIRMINGHAM,Jefferson County,AL,352145322
109122,1320  2ND ST  BIRMINGHAM,Jefferson County,AL,352145322
109123,136 ,Jefferson County,AL,352145102
109124,132 ,Jefferson County,AL,352145102
109125,108 ,Jefferson County,AL,352145102
109126,1204  2ND ST  BIRMINGHAM,Jefferson County,AL,352145320
109127,128  AVENUE Z   BIRMINGHAM,Jefferson County,AL,352145106
109128,830  1ST ST  BIRMINGHAM,Jefferson County,AL,352145008
109129,120  AVENUE U   BIRMINGHAM,Jefferson County,AL,352145043
109130,1120  2ND ST  BIRMINGHAM,Jefferson County,AL,352145318
109131,811  2ND ST  BIRMINGHAM,Jefferson County,AL,352145311
109132,204  AVENUE U   BIRMINGHAM,Jefferson County,AL,352145354
109133,317  AVENUE U   BIRMINGHAM,Jefferson County,AL,352145543
109134,917  3RD ST  BIRMINGHAM,Jefferson County,AL,352145326
109135,306  AVENUE V   BIRMINGHAM,Jefferson County,AL,352145548
109136,504  DORA AVE  BIRMINGHAM,Jefferson County,AL,35214
109137,325  5TH ST  FORESTDALE,Jefferson County,AL,352145603
109138,509  5TH WAY  BIRMINGHAM,Jefferson County,AL,352145707
109139,301  5TH WAY  BIRMINGHAM,Jefferson County,AL,352145703
109140,560  AVENUE C   BIRMINGHAM,Jefferson County,AL,352145734
109141,1325  15TH PL SW BIRMINGHAM,Jefferson County,AL,352112719
109142,732  AVENUE F   BIRMINGHAM,Jefferson County,AL,352146102
109143,916  AVENUE  E BIRMINGHAM,Jefferson County,AL,352146132
109144,904  AVENUE  E BIRMINGHAM,Jefferson County,AL,352146164
109145,1301  10TH ST  BIRMINGHAM,Jefferson County,AL,352146213
109146,1017  AVENUE M   BIRMINGHAM,Jefferson County,AL,352146239
109147,1000  AVENUE G   BIRMINGHAM,Jefferson County,AL,35214
109148,812  11TH ST  BIRMINGHAM,Jefferson County,AL,35218
109149,1113  AVENUE K   BIRMINGHAM,Jefferson County,AL,35218
109150,711  12TH ST SW BIRMINGHAM,Jefferson County,AL,35211
109151,1201  AVENUE I   BIRMINGHAM,Jefferson County,AL,35218
109152,1215  AVENUE I   BIRMINGHAM,Jefferson County,AL,35218
109153,1236  AVENUE M   BIRMINGHAM,Jefferson County,AL,35218
109154,1208  AVENUE M   BIRMINGHAM,Jefferson County,AL,35218
109155,1201  AVENUE M   BIRMINGHAM,Jefferson County,AL,35218
109156,1008  13TH ST N BIRMINGHAM,Jefferson County,AL,35203
109157,1317  AVENUE I   BIRMINGHAM,Jefferson County,AL,352181105
109158,813  13TH ST  BIRMINGHAM,Jefferson County,AL,35228
109159,1313  AVENUE H   BIRMINGHAM,Jefferson County,AL,352181163
109160,1307  AVENUE F   BIRMINGHAM,Jefferson County,AL,352181149
109161,1311  AVENUE F   BIRMINGHAM,Jefferson County,AL,352181149
109162,1314  AVENUE G   BIRMINGHAM,Jefferson County,AL,352181150
109163,1414  AVENUE G   BIRMINGHAM,Jefferson County,AL,352181265
109164,1410  AVENUE G   BIRMINGHAM,Jefferson County,AL,352181265
109165,617  14TH ST SW BIRMINGHAM,Jefferson County,AL,35211
109166,1408  AVENUE F   BIRMINGHAM,Jefferson County,AL,352181261
109167,2101  AVENUE H   BIRMINGHAM,Jefferson County,AL,352181748
109168,2105  AVENUE G   BIRMINGHAM,Jefferson County,AL,35218
109169,2104  AVENUE G   BIRMINGHAM,Jefferson County,AL,35218
109170,2101  AVENUE C   ENSLEY,Jefferson County,AL,352181746
109171,2120  AVENUE D   BIRMINGHAM,Jefferson County,AL,35218
